+-----+-----------------------+-----------+----------------------------+-----+
| d   | G                     | ell       | field                      | ind |
+-----+-----------------------+-----------+----------------------------+-----+
| 3   | 3.A_{6}               | 0,2       | z3, b5                     | 0   |
| 3   | 3.A_{6}               | 5         | z3                         | 0   |
| 3   | 3.A_{7}               | 5         | z3, b7                     | 0   |
| 4   | A_{6}                 | 2         |                            | -1  |
| 4   | 2.A_{6}               | 0,5       |                            | -1  |
| 4   | A_{7}                 | 2         | b7                         | 0   |
| 4   | 2.A_{7}               | 7         |                            | -1  |
| 4   | 2.A_{7}               | ! 2,7     | b7                         | 0   |
| 4   | 4_2.{\rm PSL}_{3}(4)  | 3         | i1, r7                     | 0   |
| 4   | 2.{\rm PSU}_{4}(2)    | 0,5       | z3                         | 0   |
| 5   | A_{6}                 | 0,5       |                            | 1   |
| 5   | A_{7}                 | 7         |                            | 1   |
| 5   | {\rm PSU}_{4}(2)      | 0,5       | z3                         | 0   |
| 5   | {\rm M}_{11}          | 3         | i2, b11                    | 0   |
| 6   | 3.A_{6}               | 0,5       | z3                         | 0   |
| 6   | 6.A_{6}               | 0,5       | z3, r2                     | 0   |
| 6   | A_{7}                 | ! 7       |                            | 1   |
| 6   | 2.A_{7}               | 3         | r2                         | -1  |
| 6   | 3.A_{7}               | ! 3       | z3                         | 0   |
| 6   | 6.A_{7}               | ! 2,3     | z3, r2                     | 0   |
| 6   | 2.{\rm PSL}_{3}(4)    | 3         |                            | 1   |
| 6   | 6.{\rm PSL}_{3}(4)    | ! 2,3     | z3                         | 0   |
| 6   | {\rm PSU}_{3}(3)      | ! 3       |                            | -1  |
| 6   | {\rm PSU}_{4}(2)      | 0,5       |                            | 1   |
| 6   | 3_1.{\rm PSU}_{4}(3)  | 2         | z3                         | 0   |
| 6   | 6_1.{\rm PSU}_{4}(3)  | ! 2,3     | z3                         | 0   |
| 6   | 2.{\rm M}_{12}        | 3         | i2, i5, b11                | 0   |
| 6   | 3.{\rm M}_{22}        | 2         | z3, b11                    | 0   |
| 6   | {\rm J}_2             | 2         | b5                         | -1  |
| 6   | 2.{\rm J}_2           | 5         |                            | -1  |
| 6   | 2.{\rm J}_2           | ! 2,5     | b5                         | -1  |
